"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 13:54:31 GMT 2025","Tue Mar 18 13:54:32 GMT 2025","772","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 13:54:55 GMT 2025","Tue Mar 18 13:54:56 GMT 2025","844","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 13:54:58 GMT 2025","Tue Mar 18 13:54:59 GMT 2025","656","Products page isolated tests","","","","","should display all products",""
"passed","Tue Mar 18 13:54:32 GMT 2025","Tue Mar 18 13:54:33 GMT 2025","716","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 13:54:48 GMT 2025","Tue Mar 18 13:54:48 GMT 2025","535","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 13:54:32 GMT 2025","Tue Mar 18 13:54:32 GMT 2025","38","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 13:54:50 GMT 2025","Tue Mar 18 13:54:52 GMT 2025","1425","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 13:54:43 GMT 2025","Tue Mar 18 13:54:44 GMT 2025","839","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 13:54:36 GMT 2025","Tue Mar 18 13:54:36 GMT 2025","56","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 13:54:53 GMT 2025","Tue Mar 18 13:54:54 GMT 2025","945","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 13:54:39 GMT 2025","Tue Mar 18 13:54:39 GMT 2025","57","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 13:54:35 GMT 2025","Tue Mar 18 13:54:36 GMT 2025","792","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 13:54:52 GMT 2025","Tue Mar 18 13:54:53 GMT 2025","960","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 13:54:54 GMT 2025","Tue Mar 18 13:54:55 GMT 2025","1055","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 13:54:47 GMT 2025","Tue Mar 18 13:54:48 GMT 2025","988","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 13:54:38 GMT 2025","Tue Mar 18 13:54:39 GMT 2025","412","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 13:55:03 GMT 2025","Tue Mar 18 13:55:04 GMT 2025","1436","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 13:54:39 GMT 2025","Tue Mar 18 13:54:39 GMT 2025","378","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 13:54:41 GMT 2025","Tue Mar 18 13:54:43 GMT 2025","1784","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 13:55:01 GMT 2025","Tue Mar 18 13:55:03 GMT 2025","1495","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 13:54:29 GMT 2025","Tue Mar 18 13:54:31 GMT 2025","1584","POST Product API tests","","","","","should successfully create product as admin (200)",""
